"brank","name","rate","ratepeople","中文名","话数","上映年度","片长","别名","放送开始","放送星期","原作","导演","脚本","分镜","演出","音乐","人物设定","分镜构图","美术监督","色彩设计","作画监督","摄影监督","原画","主题歌编曲","主题歌作曲","主题歌演出","企画","制片人","制作","动画制作","官方网站","url"
"69","鋼の錬金術師","8.3","5717","钢之炼金术师","51",,,"弹珠小金刚","2003年10月4日","星期六","荒川弘","水島精二","井上敏樹、高橋ナツコ、吉永亜矢、大和屋暁、高山カツヒコ、石川学、會川昇","金子伸吾、水島精二、橋本昌和、うえだしげる、安藤真裕、横山彰利、福島宏之、岩崎太郎、京田知己、橘正紀、ところともかず、笹木信作、安田賢司、増井壮一、中津環、角田一樹","橋本昌和、大槻敦史、角田一樹、小高義規、松浦錠平、京田知己、安藤真裕、安田賢司、水島精二、岩崎太郎、秦義人、中村賢太郎、中津環、金子伸吾、うえだしげる、阿宮正和","大島ミチル","伊藤嘉之",,"橋本和幸","中山しほ子","伊藤秀樹、菅野宏紀、中本尚子、中澤勇一、高橋久美子、伊藤嘉之、古賀誠、窪敏、小栗寛子、杉浦幸次、向田隆、前田明寿、谷口淳一郎、宮前真一、芝美奈子、富岡隆司、稲留和美、関口可奈味、矢崎優子、山本佐和子","福士享","斎藤恒徳、浦上貴之、かんざきひろ、小田剛生、今石洋之、杉浦幸次、富岡隆司、坂崎忠、馬越嘉彦、君島繁、中村豊、吉田徹、羽山淳一、月見里智弘、世良悠子、大下知之、松村拓哉、うつのみや理、塩谷直義、末冨慎治、板津匡覧、渡部隆、菅野宏紀、牧だいきち、石田可奈、川面恒介、松林唯人、丸山宏一、川上哲也","本間昭光、杜自持","本間昭光","L'Arc~en~Ciel、陳奕迅",,"丸山博雄、南雅彦","毎日放送 / Aniplex / BONES","BONES","http://www.hagaren.jp/","https://bangumi.tv/subject/315"
"70","∀ガンダム","8.3","1107","∀高达","50",,,"逆A高达 Turn A高达 倒A高达 ターンエーガンダム Turn A Gundam","1999年4月9日","星期五","富野由悠季、矢立肇","富野由悠季","千葉克彦、高橋哲子、浅川美也、富野由悠季、高山治郎、大河内一楼、星山博之、太田愛","渡邊哲哉、赤根和樹、西本由紀夫、川瀬敏文、西森章、森邦宏、南康宏、日高政光、高田淳、横田和、小原正和、大森英敏、アミノテツロー、奥田誠治、横山彰利、菱田正和、富野由悠季、角銅博之","西森章、杉谷光一、山口美浩、北川正人、森邦宏、南康宏、岩崎良明、池端隆史、渡邊哲哉","菅野よう子","菱沼義仁",,"池田繁美","笠森美代子","後藤雅巳、戸部敦夫、鈴木藤雄、しんぼたくろう、菱沼義仁、佐久間信一、杉光登、土器手司、中田栄治、うのまこと","大神洋一","桑名郁朗、高橋晃、吉田健一、高見明男、吉田徹、足立慎吾、坂崎忠、後藤雅巳、室井ふみえ、木﨑文智、石川てつや、加藤はつえ、津野田勝敏、菱沼義仁、大槻敦史","菅野よう子","菅野よう子","奥井亜紀","SUNRISE",,"富士電視台 SUNRISE","サンライズ","http://www.turn-a-gundam.net/","https://bangumi.tv/subject/3553"
"71","劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語","8.3","5841","剧场版 魔法少女小圆 剧场版 [新篇] 叛逆的物语","1","2013年10月26日","120分","魔法少女小圆 叛逆的故事 Puella Magi Madoka Magica The Rebellion",,,"Magica Quartet","宮本幸裕","虚淵玄(Nitro+)","笹木信作","宮本幸裕、川畑喬","梶浦由記","岸田隆宏、谷口淳一郎",,"内藤健","滝沢いづみ、日比野仁","渡邊和夫、石原恵治、小林亮、白石達也、牧孝雄、矢向宏志、潮月一也、中屋了、住本悦子、中村直人、大塚八愛、阿部智之、栗原基彦、山田有慶、伊藤良明、高野晃久、宮嶋仁志、神谷智大、栗田聡美、飯野誠、橋本敬史(特效作画监督)","江藤慎一郎","下司祐也・菊田幸一(主动画师)、神谷智大、徳丸輝明、佐々木守、清水空翔、増田哲弥、佐藤利幸、朝井聖子、阿部厳一朗、小島崇史、名倉靖博、佐々木貴宏、伊藤良明、伊藤岳史、鈴木博文、奥田陽介、田中宏紀、岩崎安利、松田宗一郎、戸田麻衣、松本元気、滝山真哲、富岡隆司、橋本敬史","梶浦由記","梶浦由記","ClariS、Kalafina","夏目公一朗、孝壽尚志、村田嘉邦、でじたろう、太布尚弘、西村克巳","岩上敦宏、久保田光俊",,"SHAFT","http://www.madoka-magica.com","https://bangumi.tv/subject/44693"
"72","カレイドスター","8.4","938","百变之星","51",,,"百变之星 崭新之翼（后半） カレイドスター 新たなる翼（后半） 万花筒之星 星梦美少女 卡莱多之星 Kaleido Star","2003年4月3日","星期四(1-26) / 星期六(27-51)","佐藤順一","佐藤順一、平池芳正（第27话以后）","中瀬理香、吉田玲子、上代務、土屋理敬、平見瞠","筑紫大介、坂田純一、佐山聖子、荒川眞嗣、佐藤順一、水瀬たむら、西久保瑞穂、大下久馬、唐戸光博、佐竹徹也、青山弘、井之川慎太郎、河本昇悟、玉野陽美、和田高明、佐藤英一","江島泰男、伊藤達文、筑紫大介、佐山聖子、鈴木薫、佐藤順一、玉野陽美、唐戸光博、金﨑貴臣、西山明樹彦、大下久馬、福多潤、平池芳正、和田高明、鎌仲史陽、山本裕介、井之川慎太郎、奥野耕太","窪田ミナ","渡辺はじめ、追崎史敏",,"西川淳一郎","辻田邦夫","高品有桂、高橋成之、加藤裕美、野崎真一、小林明美、福島豊明、井上哲、土屋圭、谷口明弘、青野厚司、高津幸央、茂木信二郎、嘉手苅睦、鈴木雄大、飯島弘也、樋口靖子、追崎史敏、酒井和男、吉本拓二、細越裕治、高木信一郎、渡辺はじめ、垪和等、杉藤さゆり、岸本真司、青山正宣、金﨑貴臣、和田高明、石倉敬一","JUNG JOO REE","茂木信二郎、朝来昭子、追崎史敏、熊谷哲矢、藪野浩二、馬越嘉彦",,,"米倉千尋","GDH、HAL","笹村武史・古屋良幸、並木俊治",,"GONZO","http://www.kaleidostar.jp/ http://www.gonzo.co.jp/archives/kaleido-star/","https://bangumi.tv/subject/4163"
"73","コードギアス 反逆のルルーシュ","8.3","10089","Code Geass 反叛的鲁路修","25",,,"叛逆的鲁路修 Code Geass: Hangyaku no Lelouch 叛逆的勒鲁什 叛逆的鲁鲁修 コードギアス 反逆のルルーシュ Code Geass: Lelouch of the Rebellion 叛逆的勒路什","2006年10月5日",,,"谷口悟朗","大河内一楼、吉野弘幸、野村祐一","望月智充、須永司、村田和也、谷口悟朗、杉島邦久","山田徹、工藤寛顕、秋田谷典昭、鳥羽聡、政木伸一、村田和也、三宅和男、馬場誠、三好正人","中川幸太郎、黒石ひとみ","木村貴宏",,"菱沼由典","岩沢れい子","鎌田祐輔、碇谷敦、田畑壽之、米山浩平、前田清明、千羽由利子、鷲北恭太、高橋晃、高瀬健一、佐々木睦美、池田有、中田栄治、佐久間健、中谷誠一、向山祐治、佐光幸恵、天﨑まなむ、山根理宏、坂本修司、しんぼたくろう","大矢創太","森賢、佐々木睦美、西田亜沙子、神谷智大、徳田夢之介、阿部美佐緒、猿渡聖加、浦上貴之、門智昭、千羽由利子、鴨川浩、高橋晃、山根理宏、光田史亮、田畑壽之、酒井智史、津熊健徳、常盤健太郎、井畑翔太、高瀬健一、金世俊、佐久間信一、又賀大介、中田栄治、森寛之、三輪和宏、橋本裕之、碇谷敦、村木靖、前田義宏、下田功一、石田可奈、山形厚史、高橋真一、木村貴宏、大張正己",,"石田順三",,,"湯川淳",,"サンライズ","http://www.geass.jp/first","https://bangumi.tv/subject/793"
"74","タッチ","8.3","1287","棒球英豪","101",,,"Touch 邻家女孩 鄰家女孩","1985年3月24日","星期日","あだち充",,"並木敏、石川良、柳川茂、島田満、水城ゆう、高星由美子、萩田寛子、清水東、立花あずま、金春智子、土屋斗紀雄","ときたひろこ、芝山努、坂田純一、小華和ためお、鈴木卓夫、小林和彦、棚橋一徳、野寺三郎、殿河内勝、池田はやと、天海ひろし、小鹿英吉","小柴純弥、鈴木卓夫、石井文子、宇井孝司、坂田純一、棚橋一徳、池田はやと、永丘昭典、望月智充、殿河内勝、早川啓二、高本宣弘、小林和彦、水谷貴哉、井上修、吉田健次郎、箕ノ口克己、ときたひろこ、高柳哲司、阿部司、岡田聡、山崎友正、古川雅士","芹澤廣明",,,"小林七郎",,"渡辺はじめ、鈴木大司、島崎克実、江口摩吏介、小和田良博、遊佐和重、木場田実、谷口守泰、棚橋正人、辻初樹、柴田和子、山内昇寿郎、前田実、神村幸子、松岡秀明、清水恵子、後藤真砂子、山本哲也、金子勲、窪秀巳、河村佳江、高倉佳彦、高橋ナオヒト、阿部司、福山映二",,"辻初樹、時永宜幸、宮沢康紀、川又浩、伊藤郁子、別所誠人、数井浩子、むらた雅彦、佐藤雄三",,,,"岡正、片岡義朗","中尾嘉伸（第79話まで）→亀山千広（第80話から）、藤原正道、対木重次、斎春雄","東宝","グループ・タック","http://www.toho-a-park.com/touch-tv","https://bangumi.tv/subject/2741"
"75","フリクリ","8.3","3676","FLCL","6",,,"フリクリ 特别的她 求恋期 Fooly Cooly First Love Cyber Love",,,"GAINAX","鶴巻和哉","榎戸洋司","佐伯昭志、今石洋之、摩砂雪、平松禎史、鶴巻和哉、小倉陳利、吉成曜","大塚雅彦、佐伯昭志、安藤健","the pillows, 光宗信吉","貞本義行",,"小倉宏昌","高星晴美","平松禎史 , 今石洋之 , 小倉陳利、山口賢一、庵野秀明",,"橋本晋治、吉成曜、庵野秀明、小西賢一、石浜真史、北久保弘之、渡部圭祐、平松禎史、江面久、高橋タクロヲ、貞本義行、山口賢一、末冨慎治、清水貴子、大塚伸治、中山勝一、鶴巻和哉、新井浩一、摩砂雪、磯光雄、今石洋之、荒川眞嗣、高村和宏、菊池聡延、Theresia Whinkler、永島明子、小倉陳利、大平晋也、鈴木俊二、芳垣祐介、西尾鉄也、清水洋、すしお、井上鋭、ねこまたや","the pillows、鈴木淳","山中さわお","the pillows","GAINAX","大月俊倫、山賀博之、石川光久、西沢正智",,"Production I.G , GAINAX","http://www.gainax.co.jp/anime/flcl","https://bangumi.tv/subject/822"
"76","デジモンアドベンチャー","8.3","4644","数码宝贝","54",,,"數碼暴龍 Digimon Adventure 数码宝贝大冒险 數碼暴龍大冒險 数码兽大冒险","1999-03-07","周日",,"角銅博之","吉田玲子、大和屋暁、浦沢義雄、前川淳、西園悟、吉村元希、まさきひろ","川田武範、角銅博之、細田守、志水淳児、吉沢孝男、小坂春女、早川啓二、芝田浩樹、今村隆寛、今沢哲男","川田武範、小坂春女、早川啓二、吉沢孝男、芝田浩樹、今村隆寛、今沢哲男、志水淳児、細田守、角銅博之","有澤孝紀","中鶴勝祥","山下高明","飯島由樹子、松本健治、清水哲弘",,"信実節子、八島善孝、清山滋崇、海老沢幸男、出口としお、山下高明、伊藤智子、直井正博",,"坂崎忠、直井正博、八島善孝",,,"和田光司、前田愛","川上大輔、木村京太郎、関弘美",,"フジテレビ、読売広告社、東映アニメーション","東映アニメーション","http://www.toei-anim.co.jp/tv/dejimon/","https://bangumi.tv/subject/3128"
"77","ヒカルの碁","8.3","2949","棋魂","75",,,"棋灵王 光的围棋 光之棋","2001年10月10日",,"ほったゆみ、小畑健","西澤晋、神谷純、えんどうてつや","横手美智子、冨岡淳広、大橋志吉、えんどうてつや","政木伸一、新留俊哉、小坂春女、野中卓也、榎本明広、神谷純、大森貴弘、谷田部勝義、成田歳法、川崎逸朗、西澤晋、ところともかず、島津奔、くるおひろし、えんどうてつや、殿勝秀樹","殿勝秀樹、えんどうてつや、熊谷雅晃、政木伸一、岡嶋国敏、新留俊哉、三宅雄一郎、ところともかず、青木佐恵子、くるおひろし、渡邊淳一、野中卓也、大隈孝晴、小坂春女、西澤晋、谷田部勝義、神谷純、飯島正勝","若草恵、古川順","本橋秀之、関口可奈味、上田美由紀、芝美奈子",,"高木佐和子","いわみみか。","越智信次、本橋秀之、前澤弘美、大西貴子、宮前真一、岡崎洋美、芝美奈子、佐光幸恵、浜津武広、阿部純子、時矢義則、君塚勝教、和泉絹子、福島豊明、斉藤雅和、仲田美歩、杉藤さゆり、恩田尚之、河野悦隆","沖野雅英","なかじまちゅうじ、渡辺淳、芝美奈子、恩田尚之、石田可奈、佐光幸恵、阿部望、椛島洋介",,,,"岩田圭介、布川ゆうじ",,,"ぴえろ",,"https://bangumi.tv/subject/605"
"78","銀魂' 延長戦","8.3","2642","银魂' 延长战","13",,,"金魂' 银魂 第二期延长战 銀魂' 延長戦","2012年10月4日","星期四","空知英秋","藤田陽一","横手美智子、大和屋暁、下山健人","宮脇千鶴、高柳哲司、南康宏、馬引圭","宮原秀二、南康宏、馬引圭、宮脇千鶴","Audio Highs","竹内進二",,,"歌川律子","原田幸枝、石川真理子、升谷由紀、鈴木ひろみ","老平英","青木康哲、升谷由紀","SPYAIR","SPYAIR","SPYAIR",,,,"サンライズ","http://www.sunrise-inc.co.jp/gintama/","https://bangumi.tv/subject/47576"
"79","化物語","8.3","11191","化物语","15",,,"バケモノガタリ 鬼怪轶闻 Bakemonogatari Monstory Bakemonogatari","2009年7月3日",,"西尾維新「化物語」（講談社BOX）","新房昭之","木澤行人、中本宗応","新房昭之（NC）、福田道生、武内宣之、あおきえい、杉山延寛、板村智幸、鈴木利正、尾石達也、白石亜由美","宮本幸裕、板村智幸、鈴木利正、尾石達也、大沼心、徳本善信、白石亜由美、美甘義人","神前暁","渡辺明夫",,"飯島寿治","滝沢いづみ","渡辺明夫、野田めぐみ、赤井俊文、武内宣之、岩崎たいすけ、北崎正浩、水上ろんど、村上やすひと、石田啓一、竹森由加、杉山延寛、長谷川亨雄、田中春香","江藤慎一郎、会津孝幸","水谷有吾、小坂倫洋、佐藤利幸、鈴木勘太、岩崎たいすけ、土屋祐太、小松勇輝、玉木慎吾、針玉ヒロキ、白石亜由美、道下康太、田中宏紀、渡辺明夫、杉山延寛、河野恵美、松本元気、小島崇史、武内宣之、ウエダハジメ、阿部厳一朗、大田和寛、伊藤良明、高瀬智章、藤井慎吾、安藤正浩、今村亮、板垣伸、尾石達也、砂田茂樹、倉嶋丈康",,,"supercell、やなぎなぎ","夏目公一朗","岩上敦宏、久保田光俊","講談社、ムービック、SHAFT","SHAFT","http://www.bakemonogatari.com/","https://bangumi.tv/subject/1671"
